codice esercizio,COMUNE,name,operator,INDIRIZZO 1,INDIRIZZO 2,phone,FAX,EMAIL,SITO,N_CAMERE,N_POSTI_LETTO,oh
48460,CORMONS,B&B da Sandruta,Zanuttin Stefano,Via Gorizia, 18/3,+39 0481 630887;+39 328 1792456,,dasandruta@yahoo.it,,1,4,"Jan 01 - Aug 11, Aug 13 - Dec 31"
40080,CORMONS,B&B Morena,Picech Morena,Via Bancaria,17,+39 0481 630370;+39 328 8690394,+39 0481 630670,corradomorena@alice.it,,2,4,Jan 10 - Dec 20
2455,CORMONS,La Casa di Alice,Brandolin Anna,Via Ara Pacis,22,+39 335 377994,+39 0481 61743,annabrandolin@tiscali.it,http://www.wel.it/alice,4,8,Mar 15 - Dec 15
34720,CORMONS,Al Piave,Mrmolja Zora,Via Piave, 29/3,+39 0481 60250;+39 329 2128745,+39 0481 60250,,,1,4,"Jan 01 - Aug 14, Sep 01 - Dec 14"
53582,CORMONS,B & B Kozovci,Sirk Adriano,Via Subida,67,+39 0481 60531,+39 0481 61616,info@lasubida.it,http://www.lasubida.it,1,3,Jan 01 - Feb 16
66901,CORMONS,Sunny S House,Gaeta Ciro,Via Colombicchio, 4/TER,+39 335 1590350  338 4577939,,cirogaeta@alice.it,,1,3,Jan 01 - Dec 31
43640,DOBERDÒ DEL LAGO,Villa Al Bosco,Stepanovic Radmila,Via Primo maggio, 3/A,+39 333 7375197,,villaalbosco@yahoo.it,http://www.villa-albosco.it,2,4,Jun 01 - Aug 31
49461,DOLEGNA DEL COLLIO,Casale Santa Rita,Travaglio Rita,Località Vencò,16,+39 048 1639145;+39 340 0753210,+39 048 1629500,franco.giorgini@libero.it,,1,2,May 01 - Sep 30
3340,DOLEGNA DEL COLLIO,Casa Delle Rose,Culot Maurizia,Frazione Ruttars,17,+39 347 7515804,+39 0481 33997,info@casadellerose.it,http://www.casadellerose.it,2,5,May 01 - Sep 30
33840,DOLEGNA DEL COLLIO,Il Girasole,Stafuzza Sabrina,Località Vencò,8,+39 0481 61692;+39 338 8997339,,bb-girasole@email.it,,3,7,Mar 01 - Jul 15
